epoch,train_loss,train_acc,val_loss,val_acc
1,0.3204049557510708,0.8545344252350622,0.49715751134888486,0.8093352781829548
2,0.13284601029240256,0.9475280558083106,0.5168779556839186,0.8312148364242551
3,0.08831954021362742,0.9679708826205642,0.5662552217942621,0.8389247759949989
4,0.07126811990801958,0.9744009705793145,0.7064180261214641,0.837257762033757
5,0.05713803878628578,0.9803457688808007,0.7352076849730766,0.84413419462388
6,0.04766443052303983,0.9838034576888081,0.619863587773748,0.8555949156074182
7,0.038407532604627904,0.9876857749469214,0.6895622359536344,0.8382996457595332
8,0.036943822237631194,0.9873218077039733,0.7296774530036918,0.8522608876849344
9,0.02868494577994515,0.9898695784046102,0.839044258082303,0.8535111481558658
10,0.026955993796223942,0.9901122232332423,0.6779837941882461,0.8643467389039383
